,Press,Category,Count_News,IsClickbait,forward-referencing,emotional,interrogative,surprise,ellipsis,list,how_to,interjection,spillthebeans,gossip,ending_words,netizen,exaggerated,uncertainty
49,中天,health,2178,555.0,275.0,212.0,1.0,91.0,6.0,239.0,4.0,2.0,33.0,32.0,145.0,45.0,374.0,107.0
50,中天,life,3113,1134.0,443.0,538.0,0.0,64.0,138.0,131.0,2.0,5.0,145.0,73.0,330.0,320.0,812.0,65.0
51,中天,politics,1052,404.0,215.0,260.0,0.0,15.0,19.0,51.0,1.0,0.0,50.0,27.0,146.0,68.0,198.0,24.0
52,今日新聞,entertainment,3799,1513.0,556.0,948.0,0.0,85.0,0.0,116.0,1.0,5.0,353.0,295.0,592.0,50.0,874.0,36.0
53,今日新聞,finance,2457,428.0,244.0,154.0,0.0,11.0,0.0,180.0,5.0,1.0,39.0,2.0,104.0,20.0,402.0,65.0
54,今日新聞,global,5631,523.0,180.0,568.0,0.0,26.0,0.0,106.0,4.0,1.0,31.0,59.0,164.0,119.0,594.0,200.0
55,今日新聞,health,1891,526.0,302.0,152.0,0.0,51.0,10.0,202.0,68.0,1.0,17.0,15.0,93.0,13.0,242.0,25.0
56,今日新聞,life,3322,401.0,185.0,167.0,0.0,11.0,0.0,155.0,3.0,2.0,27.0,10.0,135.0,52.0,412.0,57.0
57,今日新聞,politics,5876,1116.0,544.0,980.0,0.0,42.0,1.0,194.0,16.0,3.0,126.0,69.0,352.0,100.0,678.0,145.0
58,今日新聞,tech,757,240.0,84.0,129.0,0.0,11.0,0.0,37.0,0.0,0.0,54.0,6.0,136.0,23.0,227.0,21.0
59,報導者,finance,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,報導者,global,15,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
61,報導者,health,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
62,報導者,life,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,報導者,politics,15,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
64,壹蘋新聞,entertainment,4171,1767.0,820.0,1001.0,0.0,86.0,11.0,134.0,3.0,8.0,316.0,319.0,686.0,188.0,949.0,25.0
65,壹蘋新聞,finance,2198,590.0,428.0,143.0,0.0,20.0,0.0,124.0,3.0,1.0,58.0,12.0,167.0,48.0,362.0,35.0
66,壹蘋新聞,global,3549,1037.0,603.0,536.0,0.0,147.0,10.0,82.0,4.0,11.0,73.0,105.0,313.0,199.0,470.0,67.0
67,壹蘋新聞,health,308,121.0,93.0,17.0,3.0,22.0,2.0,31.0,2.0,0.0,3.0,6.0,24.0,7.0,58.0,2.0
68,壹蘋新聞,life,4721,1670.0,1020.0,694.0,4.0,82.0,6.0,232.0,8.0,12.0,160.0,185.0,571.0,359.0,1002.0,30.0
69,壹蘋新聞,politics,3564,1575.0,1098.0,926.0,0.0,58.0,8.0,140.0,7.0,5.0,212.0,61.0,516.0,102.0,455.0,49.0
70,鏡新聞,entertainment,753,219.0,66.0,168.0,0.0,14.0,0.0,23.0,0.0,2.0,45.0,28.0,70.0,44.0,124.0,22.0
71,鏡新聞,finance,173,23.0,13.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,10.0,2.0,19.0,4.0
72,鏡新聞,global,1042,167.0,44.0,170.0,0.0,15.0,0.0,11.0,1.0,0.0,16.0,17.0,37.0,38.0,149.0,31.0
73,鏡新聞,life,1274,184.0,50.0,132.0,0.0,12.0,0.0,20.0,0.0,1.0,30.0,16.0,67.0,35.0,218.0,18.0
74,鏡新聞,politics,1284,170.0,57.0,206.0,0.0,8.0,1.0,18.0,1.0,1.0,37.0,13.0,58.0,24.0,107.0,45.0
