,Date,Press,Category,forward-referencing,emotional,interrogative,surprise,ellipsis,list,how_to,interjection,spillthebeans,gossip,ending_words,netizen,exaggerated,uncertainty,IsClickbait
0,2018-01-01,ETToday,entertainment,0.15288611544461778,0.2574102964118565,0.0,0.0124804992199688,0.060842433697347896,0.0405616224648986,0.0,0.0078003120124804995,0.0514820592823713,0.054602184087363496,0.15132605304212168,0.07956318252730109,0.2059282371294852,0.0062402496099844,0.43525741029641185
1,2018-01-01,ETToday,finance,0.040983606557377046,0.09016393442622951,0.0,0.0,0.0,0.05737704918032787,0.01639344262295082,0.0,0.01639344262295082,0.0,0.02459016393442623,0.03278688524590164,0.16393442622950818,0.00819672131147541,0.1721311475409836
2,2018-01-01,ETToday,global,0.05,0.19,0.0,0.02,0.07,0.05,0.0,0.0,0.02,0.02,0.06,0.02,0.19,0.0,0.24
3,2018-01-01,ETToday,health,0.26,0.11,0.0,0.01,0.01,0.31,0.0,0.0,0.0,0.01,0.08,0.01,0.28,0.03,0.4
4,2018-01-01,ETToday,life,0.15047021943573669,0.30094043887147337,0.0,0.025078369905956112,0.0877742946708464,0.034482758620689655,0.0,0.003134796238244514,0.03134796238244514,0.034482758620689655,0.09717868338557993,0.1786833855799373,0.219435736677116,0.006269592476489028,0.4263322884012539
5,2018-01-01,ETToday,politics,0.04669260700389105,0.16731517509727625,0.0,0.0038910505836575876,0.0038910505836575876,0.01556420233463035,0.0,0.0,0.007782101167315175,0.007782101167315175,0.03501945525291829,0.011673151750972763,0.07782101167315175,0.01556420233463035,0.10894941634241245
6,2018-01-01,ETToday,tech,0.1111111111111111,0.05555555555555555,0.0,0.0,0.027777777777777776,0.1388888888888889,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.1388888888888889,0.0,0.19444444444444445
7,2018-01-01,NewYorkTimes,finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
8,2018-01-01,NewYorkTimes,global,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05
9,2018-01-01,NewYorkTimes,life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2018-01-01,NewYorkTimes,politics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2018-01-01,NewYorkTimes,tech,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285
12,2018-01-01,NewsLens,finance,0.28888888888888886,0.06666666666666667,0.0,0.022222222222222223,0.0,0.2222222222222222,0.26666666666666666,0.0,0.0,0.0,0.06666666666666667,0.0,0.08888888888888889,0.0,0.5111111111111111
13,2018-01-01,NewsLens,global,0.13953488372093023,0.08139534883720931,0.0,0.046511627906976744,0.011627906976744186,0.05813953488372093,0.06976744186046512,0.0,0.0,0.0,0.03488372093023256,0.023255813953488372,0.08139534883720931,0.011627906976744186,0.2558139534883721
14,2018-01-01,NewsLens,health,0.038461538461538464,0.11538461538461539,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.2692307692307692,0.0,0.23076923076923078
15,2018-01-01,NewsLens,life,0.2,0.1076923076923077,0.0,0.046153846153846156,0.0,0.015384615384615385,0.07692307692307693,0.0,0.0,0.0,0.06153846153846154,0.0,0.07692307692307693,0.0,0.27692307692307694
16,2018-01-01,NewsLens,politics,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.04,0.24,0.0,0.2
17,2018-01-01,NewsLens,tech,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4
18,2018-01-01,Storm Media,health,0.65,0.05,0.0,0.05,0.1,0.5,0.0,0.1,0.0,0.0,0.15,0.0,0.2,0.05,0.7
19,2018-01-01,Storm Media,life,0.47619047619047616,0.0,0.0,0.047619047619047616,0.09523809523809523,0.23809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714
20,2018-01-01,TVBS,health,0.19672131147540983,0.11475409836065574,0.0,0.04918032786885246,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.08196721311475409,0.0,0.14754098360655737,0.0,0.29508196721311475
21,2018-01-01,TVBS,tech,0.125,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.125,0.175
22,2018-01-01,今日新聞,finance,0.059322033898305086,0.01694915254237288,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.05084745762711865,0.0,0.0847457627118644,0.00847457627118644,0.06779661016949153
23,2018-01-01,今日新聞,politics,0.028985507246376812,0.11594202898550725,0.0,0.0,0.0,0.036231884057971016,0.0,0.0,0.007246376811594203,0.014492753623188406,0.043478260869565216,0.007246376811594203,0.028985507246376812,0.014492753623188406,0.07246376811594203
24,2018-01-01,報導者,health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2018-01-01,報導者,life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
